-78.238,13.07,204.17
-79.083,14.152,205.23
-79.927,15.233,206.29
-80.78,16.309,207.34
-81.63,17.385,208.4
-82.478,18.464,209.46
-83.332,19.539,210.51
-84.188,20.612,211.57
-85.046,21.682,212.63
-85.905,22.75,213.68
-86.761,23.823,214.74
-87.622,24.891,215.8
-88.482,25.958,216.86
-89.335,27.033,217.92
-90.188,28.107,218.97
-91.03,29.191,220.03
-91.877,30.275,221.08
-92.727,31.349,222.14
-93.584,32.42,223.2
-94.521,33.497,224.18
-95.301,34.519,225.34
-96.028,35.66,226.42
-96.812,36.838,227.42
-97.441,38.156,228.35
-97.687,39.636,229.22
-97.655,41.079,230.18
-97.408,42.551,231.05
-97.051,43.955,232
-96.459,45.292,232.93
-96.027,46.682,233.87
-95.316,47.916,234.86
-94.552,49.169,235.78
-93.405,49.976,236.79
-92.254,50.864,237.73
-91.154,51.716,238.77
-90.038,52.608,239.74
-88.839,53.366,240.74
-87.613,53.955,241.81
-86.304,54.609,242.74
-85.01,55.075,243.79
-83.776,55.307,244.98
-82.415,55.45,246.05
-81.027,55.642,247.06
-79.564,55.751,247.98
-78.131,55.57,248.94
-76.793,55.286,250
-75.435,54.913,251.01
-74.071,54.469,251.98
-72.699,53.961,252.91
-71.409,53.378,253.91
-70.145,52.773,254.92
-68.866,52.16,255.92
-67.6,51.544,256.93
-66.34,50.921,257.94
-65.096,50.307,258.98
-63.84,49.68,259.99
-62.604,49.051,261.03
-61.375,48.419,262.07
-60.16,47.777,263.13
-58.941,47.147,264.18
-57.721,46.524,265.24
-56.497,45.912,266.31
-55.275,45.297,267.37
-54.058,44.669,268.43
-52.839,44.049,269.49
-51.62,43.425,270.55
-50.405,42.793,271.61
-49.19,42.162,272.67
-47.974,41.533,273.73
-46.755,40.909,274.79
-45.54,40.278,275.86
-44.33,39.635,276.92
-43.119,38.995,277.98
-41.904,38.367,279.04
-40.668,37.735,280.07
-39.423,37.097,281.1
-38.19,36.47,282.14
-36.971,35.843,283.2
-35.74,35.207,284.24
-34.479,34.574,285.24
-33.246,33.939,286.28
-32.008,33.303,287.31
-30.763,32.678,288.34
-29.53,32.041,289.37
-28.302,31.405,290.42
-27.029,30.791,291.42
-25.68,30.182,292.32
-24.296,29.573,293.16
-22.925,28.956,294.02
-21.602,28.329,294.95
-20.36,27.508,295.83
-19.48,26.366,296.79
-18.928,25.039,297.76
-18.744,23.665,298.8
-18.901,22.271,299.82
-19.229,20.932,300.86
-19.662,19.587,301.86
-20.136,18.236,302.84
-20.657,16.833,303.71
-21.221,15.46,304.6
-21.828,14.113,305.51
-22.464,12.799,306.44
-23.122,11.497,307.37
-23.801,10.213,308.32
-24.5,8.943,309.27
-25.214,7.6831,310.22
-25.941,6.4268,311.16
-26.679,5.166,312.09
-27.431,3.9057,313.01
-28.171,2.6225,313.91
